unix_time,attention_value
1682334057,30
1682334058,13
1682334059,1
1682334060,1
1682334061,17
1682334062,40
1682334063,40
1682334064,56
1682334065,44
1682334066,54
1682334067,67
1682334068,54
1682334069,37
1682334070,27
1682334071,23
1682334072,29
1682334073,38
1682334074,40
1682334075,56
1682334076,56
1682334077,61
1682334078,64
1682334079,63
1682334080,64
1682334081,81
1682334082,84
1682334083,77
1682334084,53
1682334085,30
1682334086,30
1682334087,37
1682334088,66
1682334089,70
1682334090,61
1682334091,83
1682334092,80
1682334093,83
1682334094,100
1682334095,80
1682334096,75
1682334097,77
1682334098,69
1682334099,63
1682334100,69
1682334101,69
1682334102,56
1682334103,41
1682334104,44
1682334105,35
1682334106,57
1682334107,69
1682334108,84
