unix_time,highAlpha_value
1682333330,1
1682333331,0
1682333332,337289
1682333333,15790
1682333334,32041
1682333335,1332
1682333336,18282
1682333337,37608
1682333338,26073
1682333339,42377
1682333340,9625
1682333341,8176
1682333342,20567
1682333343,9873
1682333344,28290
1682333345,17100
1682333346,57054
1682333347,6545
1682333348,20087
1682333349,3431
1682333350,49818
1682333351,19075
1682333352,16297
1682333353,4130
1682333354,4667
1682333355,40822
1682333356,6678
1682333357,50816
1682333358,54902
1682333359,5555
