unix_time,highBeta_value
1682334053,48613
1682334054,2595
1682334055,22808
1682334056,13573
1682334057,20682
1682334058,1218
1682334059,8717
1682334060,20314
1682334061,47499
1682334062,11914
1682334063,16704
1682334064,49099
1682334065,18198
1682334066,54879
1682334067,8475
1682334068,64765
1682334069,2632
1682334070,5114
1682334071,4925
1682334072,43491
1682334073,28054
1682334074,31053
1682334075,5191
1682334076,25071
1682334077,3538
1682334078,21953
1682334079,5439
1682334080,3467
1682334081,42431
1682334082,6329
1682334083,43762
1682334084,6569
1682334085,6397
1682334086,23030
1682334087,21111
1682334088,29103
1682334089,19789
1682334090,12645
1682334091,35618
1682334092,15878
1682334093,26111
1682334094,27660
1682334095,16174
1682334096,27159
1682334097,35895
1682334098,8321
1682334099,21138
1682334100,99885
1682334101,38565
1682334102,91122
1682334103,2178
1682334104,6873
1682334105,57038
1682334106,131688
1682334107,11322
1682334108,44854
