unix_time,lowBeta_value
1682334053,174604
1682334054,6606
1682334055,15726
1682334056,44008
1682334057,44696
1682334058,1389
1682334059,33464
1682334060,11636
1682334061,30455
1682334062,13221
1682334063,34089
1682334064,81337
1682334065,21225
1682334066,27229
1682334067,14372
1682334068,84068
1682334069,827
1682334070,6893
1682334071,3041
1682334072,39185
1682334073,32120
1682334074,55752
1682334075,4484
1682334076,40670
1682334077,9935
1682334078,19747
1682334079,7129
1682334080,6785
1682334081,23104
1682334082,5821
1682334083,37589
1682334084,26829
1682334085,5180
1682334086,43855
1682334087,59945
1682334088,28323
1682334089,41597
1682334090,14164
1682334091,17789
1682334092,37760
1682334093,35995
1682334094,16108
1682334095,68486
1682334096,37274
1682334097,13542
1682334098,5712
1682334099,27137
1682334100,170031
1682334101,61479
1682334102,147472
1682334103,6128
1682334104,12232
1682334105,43934
1682334106,141370
1682334107,3422
1682334108,11123
