unix_time,lowGamma_value
1682334051,1
1682334052,0
1682334053,16380
1682334054,2099
1682334055,28401
1682334056,7887
1682334057,6726
1682334058,507
1682334059,10733
1682334060,10767
1682334061,4284
1682334062,4951
1682334063,8271
1682334064,34589
1682334065,14385
1682334066,49619
1682334067,5781
1682334068,67330
1682334069,1120
1682334070,2382
1682334071,2994
1682334072,30584
1682334073,13489
1682334074,22043
1682334075,2978
1682334076,22112
1682334077,4104
1682334078,15351
1682334079,3826
1682334080,4460
1682334081,10967
1682334082,3753
1682334083,22429
1682334084,5528
1682334085,2904
1682334086,15630
1682334087,9502
1682334088,15078
1682334089,21067
1682334090,5367
1682334091,3671
1682334092,11920
1682334093,6190
1682334094,6683
1682334095,5381
1682334096,21357
1682334097,11895
1682334098,10867
1682334099,15374
1682334100,75085
1682334101,11963
1682334102,43692
1682334103,1633
1682334104,3246
1682334105,24789
1682334106,93332
1682334107,4764
1682334108,21294
